title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
the book of eli,WB,62300000.0,2010,en,18.985,2010-01-11,3495,80000000.0,94835059.0,158750817.0,6.7,2010,118.0,"Action,Adventure,Drama",6.9,271307,78750817.0,0.9843852125,1,January,1
the town,WB,61800000.0,2010,en,13.476,2010-09-17,2386,37000000.0,92186262.0,152566881.0,7.1,2010,125.0,"Crime,Drama,Thriller",7.6,322524,115566881.0,3.1234292162162163,9,September,3
date night,Fox,53600000.0,2010,en,12.498,2010-04-08,1743,55000000.0,98711404.0,152269033.0,6.0,2010,88.0,"Comedy,Crime,Romance",6.3,144683,97269033.0,1.7685278727272726,4,April,2
legend of the guardians the owls of gahoole,WB,84400000.0,2010,en,10.754,2010-09-24,1223,100000000.0,55675313.0,139716717.0,6.6,2010,97.0,"Action,Adventure,Animation",7.0,73790,39716717.0,0.39716717,9,September,3
the wolfman,Uni.,77800000.0,2010,en,14.03,2010-02-12,1009,150000000.0,62189884.0,142634358.0,5.7,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,-7365642.0,-0.04910428,2,February,1
the bounty hunter,Sony,69300000.0,2010,en,9.861,2010-03-19,1627,45000000.0,67061228.0,135808837.0,5.7,2010,110.0,"Action,Comedy,Romance",5.6,112444,90808837.0,2.0179741555555557,3,March,1
the fighter,Par.,35600000.0,2010,en,10.395,2010-12-17,2325,11000000.0,93617009.0,129262388.0,7.3,2010,116.0,"Biography,Drama,Sport",7.8,316539,118262388.0,10.751126181818181,12,December,4
predators,Fox,75200000.0,2010,en,16.216,2010-07-03,1979,40000000.0,52000688.0,127234389.0,6.1,2010,107.0,"Action,Adventure,Sci-Fi",6.4,199764,87234389.0,2.180859725,7,July,3
dear john,SGem,35000000.0,2010,en,12.048,2010-02-04,2676,25000000.0,80014842.0,142033509.0,6.8,2010,108.0,"Drama,Romance,War",6.3,128657,117033509.0,4.68134036,2,February,1
cats dogs the revenge of kitty galore,WB,68900000.0,2010,en,10.544,2010-07-30,273,85000000.0,43585753.0,113026383.0,4.9,2010,82.0,"Action,Comedy,Family",4.3,12642,28026383.0,0.32972215294117646,7,July,3
tooth fairy,Fox,52400000.0,2010,en,12.65,2010-01-22,1058,48000000.0,60022256.0,112610386.0,5.3,2010,101.0,"Comedy,Family,Fantasy",5.0,37939,64610386.0,1.3460497083333334,1,January,1
tooth fairy,Fox,52400000.0,2010,en,12.65,2010-01-22,1058,48000000.0,60022256.0,112610386.0,5.3,2019,86.0,Horror,2.6,64,64610386.0,1.3460497083333334,1,January,1
life as we know it,WB,52300000.0,2010,en,11.806,2010-10-02,1748,38000000.0,53374681.0,105887837.0,6.8,2010,114.0,"Comedy,Drama,Romance",6.6,113077,67887837.0,1.7865220263157895,10,October,4
hereafter,WB,72500000.0,2010,en,7.886,2010-10-22,848,50000000.0,32746941.0,108660270.0,5.9,2010,129.0,"Drama,Fantasy,Romance",6.5,87288,58660270.0,1.1732054,10,October,4
the girl with the dragon tattoo,MBox,94300000.0,2010,en,17.823,2011-12-14,3971,90000000.0,102515793.0,239373970.0,7.3,2011,158.0,"Crime,Drama,Mystery",7.8,387580,149373970.0,1.6597107777777778,12,December,4
